Open,Symbol,Position ID,Type,Volume,Price,S/L,T/P,Close,Close Price,P/L,Change
"Feb 14, 2025 @ 10:35:19",US30,7277816997841041781,Buy,0.01,44680.34,n/a,n/a,"Feb 14, 2025 @ 10:39:36",44682.34,$2.00,0.00%
"
Feb 14, 2025 @ 10:35:07",US30,7277816997841041770,Buy,0.01,44672.34,n/a,n/a,"Feb 14, 2025 @ 10:39:36",44682.34,$9.00,0.02%
"
Feb 14, 2025 @ 10:35:06",US30,7277816997841041766,Buy,0.01,44670.34,n/a,n/a,"Feb 14, 2025 @ 10:39:36",44682.34,$12.00,0.03%
"
Feb 14, 2025 @ 10:35:06",US30,7277816997841041768,Buy,0.01,44671.34,n/a,n/a,"Feb 14, 2025 @ 10:39:36",44682.34,$10.00,0.02%
"
Feb 14, 2025 @ 10:35:05",US30,7277816997841041764,Buy,0.01,44669.34,n/a,n/a,"Feb 14, 2025 @ 10:39:36",44682.34,$11.00,0.03%
"
Feb 14, 2025 @ 10:34:21",US30,7277816997841041728,Sell,0.01,44652.34,n/a,n/a,"Feb 14, 2025 @ 10:36:01",44683.34,-$31.00,-0.07%
"
Feb 14, 2025 @ 10:34:11",US30,7277816997841041719,Sell,0.01,44652.34,n/a,n/a,"Feb 14, 2025 @ 10:36:02",44684.34,-$32.00,-0.07%
"
Feb 14, 2025 @ 10:34:06",US30,7277816997841041712,Sell,0.01,44649.34,n/a,n/a,"Feb 14, 2025 @ 10:36:04",44682.34,-$31.00,-0.07%
"
Feb 14, 2025 @ 10:33:49",US30,7277816997841041695,Sell,0.01,44653.34,n/a,n/a,"Feb 14, 2025 @ 10:36:06",44682.34,-$29.00,-0.06%
"
Feb 14, 2025 @ 10:33:36",US30,7277816997841041687,Sell,0.01,44647.34,n/a,n/a,"Feb 14, 2025 @ 10:39:36",44684.34,-$37.00,-0.08%
"
Feb 14, 2025 @ 10:31:12",NAS100,7277816997841041578,Buy,0.02,22058.85,n/a,n/a,"Feb 14, 2025 @ 10:31:34",22061.55,$5.20,0.01%
"
Feb 14, 2025 @ 10:27:51",US30,7277816997841041408,Sell,0.01,44650.34,n/a,n/a,"Feb 14, 2025 @ 10:29:58",44636.34,$14.00,0.03%
"
Feb 14, 2025 @ 10:26:28",US30,7277816997841041343,Sell,0.01,44638.34,n/a,n/a,"Feb 14, 2025 @ 10:33:16",44646.34,-$8.00,-0.02%
"
Feb 14, 2025 @ 10:20:23",NAS100,7277816997841041000,Buy,0.02,22052.85,n/a,n/a,"Feb 14, 2025 @ 10:30:58",22056.05,$3.00,0.01%
"
Feb 14, 2025 @ 10:18:30",US30,7277816997841040865,Sell,0.01,44692.34,n/a,n/a,"Feb 14, 2025 @ 10:25:02",44655.84,$37.00,0.08%
"
Feb 14, 2025 @ 09:54:54",US30,7277816997841039512,Sell,0.01,44700.34,n/a,n/a,"Feb 14, 2025 @ 09:56:50",44695.34,$3.00,0.01%
"
Feb 14, 2025 @ 09:49:36",US30,7277816997841039289,Buy,0.01,44708.34,n/a,n/a,"Feb 14, 2025 @ 10:18:24",44687.34,-$21.00,-0.05%
"
Feb 14, 2025 @ 09:48:51",NAS100,7277816997841039243,Buy,0.02,22044.85,n/a,n/a,"Feb 14, 2025 @ 10:19:32",22052.95,$17.60,0.04%
"
Feb 14, 2025 @ 09:40:43",US30,7277816997841038644,Buy,0.01,44726.34,n/a,n/a,"Feb 14, 2025 @ 09:47:39",44697.34,-$29.00,-0.06%
"
Feb 14, 2025 @ 09:39:21",US30,7277816997841038504,Buy,0.01,44698.34,n/a,n/a,"Feb 14, 2025 @ 09:45:41",44724.34,$26.00,0.06%
"
Feb 14, 2025 @ 09:36:27",US30,7277816997841038258,Sell,0.01,44666.34,n/a,n/a,"Feb 14, 2025 @ 09:36:59",44678.34,-$14.50,-0.03%
"
Feb 14, 2025 @ 09:35:57",US30,7277816997841038229,Sell,0.01,44645.34,n/a,n/a,"Feb 14, 2025 @ 09:37:24",44679.34,-$34.00,-0.08%
"
Feb 14, 2025 @ 09:33:57",US30,7277816997841038061,Buy,0.01,44685.34,n/a,n/a,"Feb 14, 2025 @ 09:43:10",44731.34,$46.00,0.10%
"
Feb 14, 2025 @ 09:33:52",US30,7277816997841038054,Sell,0.01,44681.34,n/a,n/a,"Feb 14, 2025 @ 09:35:26",44665.34,$16.00,0.04%
"
Feb 14, 2025 @ 09:31:56",NAS100,7277816997841037873,Sell,0.02,22025.85,n/a,n/a,"Feb 14, 2025 @ 09:32:43",22041.85,-$38.20,-0.07%
"
Feb 14, 2025 @ 09:31:17",US30,7277816997841037765,Sell,0.01,44647.34,n/a,n/a,"Feb 14, 2025 @ 09:37:26",44678.84,-$31.00,-0.07%
"
Feb 14, 2025 @ 09:31:05",NAS100,7277816997841037696,Buy,0.02,22051.35,n/a,n/a,"Feb 14, 2025 @ 09:31:39",22037.35,-$33.40,-0.06%
"
Feb 14, 2025 @ 09:22:59",US30,7277816997841037159,Buy,0.01,44697.34,n/a,n/a,"Feb 14, 2025 @ 09:25:46",44703.34,$4.50,0.01%
"
Feb 14, 2025 @ 01:27:04",US30,7277816997841028753,Sell,0.01,44755.34,n/a,n/a,"Feb 14, 2025 @ 01:37:59",44754.34,$1.00,0.00%
"
Feb 13, 2025 @ 20:55:20",US30,7277816997841026109,Buy,0.01,44778.34,n/a,n/a,"Feb 14, 2025 @ 00:39:48",44748.34,-$30.00,-0.07%
"
Feb 13, 2025 @ 20:54:09",US30,7277816997841026089,Sell,0.01,44772.34,n/a,n/a,"Feb 13, 2025 @ 20:55:42",44781.34,-$9.00,-0.02%
"
Feb 13, 2025 @ 20:49:19",US30,7277816997841026036,Sell,0.01,44772.34,n/a,n/a,"Feb 13, 2025 @ 20:51:07",44777.34,-$5.00,-0.01%
"
Feb 13, 2025 @ 09:32:47",NAS100,7277816997841012218,Buy,0.01,21836.65,n/a,n/a,"Feb 13, 2025 @ 09:33:10",21845.65,$8.90,0.04%
"
Feb 12, 2025 @ 09:45:24",NAS100,7277816997840985045,Buy,0.06,21579.45,n/a,n/a,"Feb 12, 2025 @ 09:46:39",21595.95,$118.20,0.08%
"
Feb 12, 2025 @ 09:43:01",NAS100,7277816997840984891,Buy,0.06,21554.45,n/a,n/a,"Feb 12, 2025 @ 09:43:10",21558.25,$24.00,0.02%
"
Feb 12, 2025 @ 09:42:07",NAS100,7277816997840984817,Buy,0.01,21552.45,n/a,n/a,"Feb 12, 2025 @ 09:44:17",21572.75,$20.05,0.09%
